Komentar,cleaning,Case_Folding,Tokennisasi,Normalisasi,Stopwords,Steaming,text_clean
Sekolah harus bertanggung jawab atas segala bullying yang terjadi di lingkungan sekolah,Sekolah harus bertanggung jawab atas segala bullying yang terjadi di lingkungan sekolah,sekolah harus bertanggung jawab atas segala bullying yang terjadi di lingkungan sekolah,"['sekolah', 'harus', 'bertanggung', 'jawab', 'atas', 'segala', 'bullying', 'yang', 'terjadi', 'di', 'lingkungan', 'sekolah']","['sekolah', 'harus', 'bertanggung', 'jawab', 'atas', 'segala', 'bullying', 'yang', 'terjadi', 'di', 'lingkungan', 'sekolah']","['sekolah', 'bertanggung', 'bullying', 'lingkungan', 'sekolah']","['sekolah', 'tanggung', 'bullying', 'lingkung', 'sekolah']",sekolah tanggung bullying lingkung sekolah
Bagus,Bagus,bagus,['bagus'],['bagus'],['bagus'],['bagus'],bagus
Besar sumbanganya makanya di dampingi,Besar sumbanganya makanya di dampingi,besar sumbanganya makanya di dampingi,"['besar', 'sumbanganya', 'makanya', 'di', 'dampingi']","['besar', 'sumbanganya', 'makanya', 'di', 'dampingi']","['sumbanganya', 'dampingi']","['sumbanganya', 'damping']",sumbanganya damping
“Ngga netral” mirip siapa yakk kayak ada di konoha 😁,Ngga netral mirip siapa yakk kayak ada di konoha,ngga netral mirip siapa yakk kayak ada di konoha,"['ngga', 'netral', 'mirip', 'siapa', 'yakk', 'kayak', 'ada', 'di', 'konoha']","['ngga', 'netral', 'mirip', 'siapa', 'yakk', 'kayak', 'ada', 'di', 'konoha']","['ngga', 'netral', 'yakk', 'kayak', 'konoha']","['ngga', 'netral', 'yakk', 'kayak', 'konoha']",ngga netral yakk kayak konoha
Tersangka di dampingi. Parah ni sekolh,Tersangka di dampingi Parah ni sekolh,tersangka di dampingi parah ni sekolh,"['tersangka', 'di', 'dampingi', 'parah', 'ni', 'sekolh']","['tersangka', 'di', 'dampingi', 'parah', 'ni', 'sekolh']","['tersangka', 'dampingi', 'parah', 'ni', 'sekolh']","['sangka', 'damping', 'parah', 'ni', 'sekolh']",sangka damping parah ni sekolh
Makanya sekolahin di BINUS atau yg internasional...YG ELIT DONG katanya pengacara kondang,Makanya sekolahin di BINUS atau yg internasional YG ELIT DONG katanya pengacara kondang,makanya sekolahin di binus atau yg internasional yg elit dong katanya pengacara kondang,"['makanya', 'sekolahin', 'di', 'binus', 'atau', 'yg', 'internasional', 'yg', 'elit', 'dong', 'katanya', 'pengacara', 'kondang']","['makanya', 'sekolahin', 'di', 'binus', 'atau', 'yang', 'internasional', 'yang', 'elit', 'dong', 'katanya', 'pengacara', 'kondang']","['sekolahin', 'binus', 'internasional', 'elit', 'pengacara', 'kondang']","['sekolahin', 'bus', 'internasional', 'elit', 'acara', 'kondang']",sekolahin bus internasional elit acara kondang
Pengacara paling gak bernilai dan keliatan udah gak laku 😂,Pengacara paling gak bernilai dan keliatan udah gak laku,pengacara paling gak bernilai dan keliatan udah gak laku,"['pengacara', 'paling', 'gak', 'bernilai', 'dan', 'keliatan', 'udah', 'gak', 'laku']","['pengacara', 'paling', 'enggak', 'bernilai', 'dan', 'keliatan', 'udah', 'enggak', 'laku']","['pengacara', 'bernilai', 'keliatan', 'udah', 'laku']","['acara', 'nila', 'liat', 'udah', 'laku']",acara nila liat udah laku
Seharusnya pengurus sekolah ikutlah proses persidangan mungkin ga terikut serta,Seharusnya pengurus sekolah ikutlah proses persidangan mungkin ga terikut serta,seharusnya pengurus sekolah ikutlah proses persidangan mungkin ga terikut serta,"['seharusnya', 'pengurus', 'sekolah', 'ikutlah', 'proses', 'persidangan', 'mungkin', 'ga', 'terikut', 'serta']","['seharusnya', 'pengurus', 'sekolah', 'ikutlah', 'proses', 'persidangan', 'mungkin', 'enggak', 'terikut', 'serta']","['pengurus', 'sekolah', 'ikutlah', 'proses', 'persidangan', 'terikut']","['urus', 'sekolah', 'ikut', 'proses', 'sidang', 'ikut']",urus sekolah ikut proses sidang ikut
Dunia pendidikan 😮,Dunia pendidikan,dunia pendidikan,"['dunia', 'pendidikan']","['dunia', 'pendidikan']","['dunia', 'pendidikan']","['dunia', 'didik']",dunia didik
Carimasalah kok sama pengacara.... 🤪,Carimasalah kok sama pengacara,carimasalah kok sama pengacara,"['carimasalah', 'kok', 'sama', 'pengacara']","['carimasalah', 'kok', 'sama', 'pengacara']","['carimasalah', 'pengacara']","['carimasalah', 'acara']",carimasalah acara
"Al Azhar ??? Siapa yg anak nya ,, keponakan nya atau keluarga nya yg pernah bersekolah di Al Azhar mana pun .. Bagaimana sistem di sekolah itu ... .. Mending di sekolah negeri aja",Al Azhar Siapa yg anak nya keponakan nya atau keluarga nya yg pernah bersekolah di Al Azhar mana pun Bagaimana sistem di sekolah itu Mending di sekolah negeri aja,al azhar siapa yg anak nya keponakan nya atau keluarga nya yg pernah bersekolah di al azhar mana pun bagaimana sistem di sekolah itu mending di sekolah negeri aja,"['al', 'azhar', 'siapa', 'yg', 'anak', 'nya', 'keponakan', 'nya', 'atau', 'keluarga', 'nya', 'yg', 'pernah', 'bersekolah', 'di', 'al', 'azhar', 'mana', 'pun', 'bagaimana', 'sistem', 'di', 'sekolah', 'itu', 'mending', 'di', 'sekolah', 'negeri', 'aja']","['al', 'azhar', 'siapa', 'yang', 'anak', 'nya', 'keponakan', 'nya', 'atau', 'keluarga', 'nya', 'yang', 'pernah', 'bersekolah', 'di', 'al', 'azhar', 'mana', 'pun', 'bagaimana', 'sistem', 'di', 'sekolah', 'itu', 'mending', 'di', 'sekolah', 'negeri', 'aja']","['al', 'azhar', 'anak', 'nya', 'keponakan', 'nya', 'keluarga', 'nya', 'bersekolah', 'al', 'azhar', 'sistem', 'sekolah', 'mending', 'sekolah', 'negeri', 'aja']","['al', 'azhar', 'anak', 'nya', 'keponakan', 'nya', 'keluarga', 'nya', 'sekolah', 'al', 'azhar', 'sistem', 'sekolah', 'mending', 'sekolah', 'negeri', 'aja']",al azhar anak nya keponakan nya keluarga nya sekolah al azhar sistem sekolah mending sekolah negeri aja
