Komentar,cleaning,cleansing,text_tokenize,tweet_normalized,text_stopword,text_stemming,text_clean
Akibat ngasih makan anak dari uang haram...,Akibat ngasih makan anak dari uang haram,akibat ngasih makan anak dari uang haram,"['akibat', 'ngasih', 'makan', 'anak', 'dari', 'uang', 'haram']","['akibat', 'ngasih', 'makan', 'anak', 'dari', 'uang', 'haram']","['akibat', 'ngasih', 'makan', 'anak', 'uang', 'haram']","['akibat', 'ngasih', 'makan', 'anak', 'uang', 'haram']",akibat ngasih makan anak uang haram
"Yg Bully, biar dikasih makan siang gratis aja di penjara.. 😮",Yg Bully biar dikasih makan siang gratis aja di penjara,yg bully biar dikasih makan siang gratis aja di penjara,"['yg', 'bully', 'biar', 'dikasih', 'makan', 'siang', 'gratis', 'aja', 'di', 'penjara']","['yang', 'bully', 'biar', 'dikasih', 'makan', 'siang', 'gratis', 'aja', 'di', 'penjara']","['bully', 'biar', 'dikasih', 'makan', 'siang', 'gratis', 'aja', 'penjara']","['bully', 'biar', 'kasih', 'makan', 'siang', 'gratis', 'aja', 'penjara']",bully biar kasih makan siang gratis aja penjara
Nunggu skrg juga pake baju Oren 😍,Nunggu skrg juga pake baju Oren,nunggu skrg juga pake baju oren,"['nunggu', 'skrg', 'juga', 'pake', 'baju', 'oren']","['nunggu', 'sekarang', 'juga', 'pake', 'baju', 'oren']","['nunggu', 'pake', 'baju', 'oren']","['nunggu', 'pake', 'baju', 'oren']",nunggu pake baju oren
Pelaku pikir udah jahat sama orang trus bebas 😂,Pelaku pikir udah jahat sama orang trus bebas,pelaku pikir udah jahat sama orang trus bebas,"['pelaku', 'pikir', 'udah', 'jahat', 'sama', 'orang', 'trus', 'bebas']","['pelaku', 'pikir', 'udah', 'jahat', 'sama', 'orang', 'terus', 'bebas']","['pelaku', 'pikir', 'udah', 'jahat', 'orang', 'bebas']","['laku', 'pikir', 'udah', 'jahat', 'orang', 'bebas']",laku pikir udah jahat orang bebas
Wow,Wow,wow,['wow'],['wow'],['wow'],['wow'],wow
Ini namanya bukan cuma bulying tp penganiayaan berat...kasih masuk itu barang,Ini namanya bukan cuma bulying tp penganiayaan berat kasih masuk itu barang,ini namanya bukan cuma bulying tp penganiayaan berat kasih masuk itu barang,"['ini', 'namanya', 'bukan', 'cuma', 'bulying', 'tp', 'penganiayaan', 'berat', 'kasih', 'masuk', 'itu', 'barang']","['ini', 'namanya', 'bukan', 'cuma', 'bulying', 'tapi', 'penganiayaan', 'berat', 'kasih', 'masuk', 'itu', 'barang']","['namanya', 'bulying', 'penganiayaan', 'berat', 'kasih', 'masuk', 'barang']","['nama', 'bulying', 'aniaya', 'berat', 'kasih', 'masuk', 'barang']",nama bulying aniaya berat kasih masuk barang
FUCK FOR BULLYING🖕,FUCK FOR BULLYING,fuck for bullying,"['fuck', 'for', 'bullying']","['fuck', 'for', 'bullying']","['fuck', 'for', 'bullying']","['fuck', 'for', 'bullying']",fuck for bullying
Ini mah penganiayaan berat secara bersama2,Ini mah penganiayaan berat secara bersama,ini mah penganiayaan berat secara bersama,"['ini', 'mah', 'penganiayaan', 'berat', 'secara', 'bersama']","['ini', 'mah', 'penganiayaan', 'berat', 'secara', 'bersama']","['mah', 'penganiayaan', 'berat']","['mah', 'aniaya', 'berat']",mah aniaya berat
Astaghfirullah...generasi bangsa ini,Astaghfirullah generasi bangsa ini,astaghfirullah generasi bangsa ini,"['astaghfirullah', 'generasi', 'bangsa', 'ini']","['astaghfirullah', 'generasi', 'bangsa', 'ini']","['astaghfirullah', 'generasi', 'bangsa']","['astaghfirullah', 'generasi', 'bangsa']",astaghfirullah generasi bangsa
Kirain sekolah mahal akan bebas dr kasus2 bullying 😢 ternyata gk jamin yah😢 Gws buat korban 👏,Kirain sekolah mahal akan bebas dr kasus bullying ternyata gk jamin yah Gws buat korban,kirain sekolah mahal akan bebas dr kasus bullying ternyata gk jamin yah gws buat korban,"['kirain', 'sekolah', 'mahal', 'akan', 'bebas', 'dr', 'kasus', 'bullying', 'ternyata', 'gk', 'jamin', 'yah', 'gws', 'buat', 'korban']","['kirain', 'sekolah', 'mahal', 'akan', 'bebas', 'dari', 'kasus', 'bullying', 'ternyata', 'enggak', 'jamin', 'yah', 'gws', 'buat', 'korban']","['kirain', 'sekolah', 'mahal', 'bebas', 'bullying', 'jamin', 'yah', 'gws', 'korban']","['kirain', 'sekolah', 'mahal', 'bebas', 'bullying', 'jamin', 'yah', 'gws', 'korban']",kirain sekolah mahal bebas bullying jamin yah gws korban
ibu ibu tukang warung masa gatau serame itu,ibu ibu tukang warung masa gatau serame itu,ibu ibu tukang warung masa gatau serame itu,"['ibu', 'ibu', 'tukang', 'warung', 'masa', 'gatau', 'serame', 'itu']","['ibu', 'ibu', 'tukang', 'warung', 'masa', 'gatau', 'serame', 'itu']","['tukang', 'warung', 'gatau', 'serame']","['tukang', 'warung', 'gatau', 'serame']",tukang warung gatau serame
Bully?wadidaw?....tersangka siapa 😂 tuntasin mpe akar2nyaa....biar jera......stop bullying🔥,Bully wadidaw tersangka siapa tuntasin mpe akarnyaa biar jera stop bullying,bully wadidaw tersangka siapa tuntasin mpe akarnyaa biar jera stop bullying,"['bully', 'wadidaw', 'tersangka', 'siapa', 'tuntasin', 'mpe', 'akarnyaa', 'biar', 'jera', 'stop', 'bullying']","['bully', 'wadidaw', 'tersangka', 'siapa', 'tuntasin', 'mpe', 'akarnyaa', 'biar', 'jera', 'stop', 'bullying']","['bully', 'wadidaw', 'tersangka', 'tuntasin', 'mpe', 'akarnyaa', 'biar', 'jera', 'stop', 'bullying']","['bully', 'wadidaw', 'sangka', 'tuntasin', 'mpe', 'akarnyaa', 'biar', 'jera', 'stop', 'bullying']",bully wadidaw sangka tuntasin mpe akarnyaa biar jera stop bullying
Sampai segitu sadisnya ngerjain anak orang,Sampai segitu sadisnya ngerjain anak orang,sampai segitu sadisnya ngerjain anak orang,"['sampai', 'segitu', 'sadisnya', 'ngerjain', 'anak', 'orang']","['sampai', 'segitu', 'sadisnya', 'ngerjain', 'anak', 'orang']","['segitu', 'sadisnya', 'ngerjain', 'anak', 'orang']","['segitu', 'sadis', 'ngerjain', 'anak', 'orang']",segitu sadis ngerjain anak orang
