Komentar,cleaning,Case_Folding,Tokenization,Hashed_Text,Normalisasi,Stopwords,Steaming,text_clean
SMP udah jadi mafia/genk,SMP udah jadi mafia genk,smp udah jadi mafia genk,"['smp', 'udah', 'jadi', 'mafia', 'genk']",ce23441a358887260b2d9c5eadd8ee8b,"['sekolah menengah pertama', 'udah', 'jadi', 'mafia', 'genk']","['sekolah menengah pertama', 'udah', 'mafia', 'genk']","['sekolah tengah pertama', 'udah', 'mafia', 'genk']",sekolah tengah pertama udah mafia genk
Brengsek gawe isin wong Cilacap bae,Brengsek gawe isin wong Cilacap bae,brengsek gawe isin wong cilacap bae,"['brengsek', 'gawe', 'isin', 'wong', 'cilacap', 'bae']",e7bc9bc30cdcca1627190f884803e353,"['brengsek', 'gawe', 'isin', 'wong', 'cilacap', 'bae']","['brengsek', 'gawe', 'isin', 'cilacap']","['brengsek', 'gawe', 'isin', 'cilacap']",brengsek gawe isin cilacap
"Tetep aja geng gengan dilarang woi, berbaur dong harusnya,.",Tetep aja geng gengan dilarang woi berbaur dong harusnya,tetep aja geng gengan dilarang woi berbaur dong harusnya,"['tetep', 'aja', 'geng', 'gengan', 'dilarang', 'woi', 'berbaur', 'dong', 'harusnya']",50b19abf0455daaedfa8db0657bb9dc2,"['tetep', 'saja', 'geng', 'gengan', 'dilarang', 'woi', 'berbaur', 'dong', 'harusnya']","['tetep', 'geng', 'gengan', 'dilarang', 'woi', 'berbaur']","['tetep', 'geng', 'geng', 'larang', 'woi', 'baur']",tetep geng geng larang woi baur
Tidak ada rasa belas kasihan si pelaku ini.,Tidak ada rasa belas kasihan si pelaku ini,tidak ada rasa belas kasihan si pelaku ini,"['tidak', 'ada', 'rasa', 'belas', 'kasihan', 'si', 'pelaku', 'ini']",552a1f7ed4952513b53051e30910d962,"['tidak', 'ada', 'rasa', 'belas', 'kasihan', 'si', 'pelaku', 'ini']","['ada', 'belas', 'kasihan', 'si', 'pelaku']","['ada', 'belas', 'kasihan', 'si', 'laku']",ada belas kasihan si laku
"Kmarin katanya karena cewek ,yg bnr yg mana",Kmarin katanya karena cewek yg bnr yg mana,kmarin katanya karena cewek yg bnr yg mana,"['kmarin', 'katanya', 'karena', 'cewek', 'yg', 'bnr', 'yg', 'mana']",c2f245f1dc124094996a4a894cfb238b,"['kmarin', 'katanya', 'karena', 'cewek', 'yang', 'bnr', 'yang', 'mana']","['kmarin', 'cewek', 'bnr']","['kmarin', 'cewek', 'bnr']",kmarin cewek bnr
persetan dengan perundang2an dibawah umur,persetan dengan perundangan dibawah umur,persetan dengan perundangan dibawah umur,"['persetan', 'dengan', 'perundangan', 'dibawah', 'umur']",1d1cf0d64ab430cebc3baa6cdba8792e,"['persetan', 'dengan', 'perundangan', 'dibawah', 'umur']","['persetan', 'perundangan', 'dibawah', 'umur']","['persetan', 'undang', 'bawah', 'umur']",persetan undang bawah umur
menunggu berita ketegasan dari pihak sekolah!!,menunggu berita ketegasan dari pihak sekolah,menunggu berita ketegasan dari pihak sekolah,"['menunggu', 'berita', 'ketegasan', 'dari', 'pihak', 'sekolah']",95d01999d2d6ac2b96555d6d68d562f9,"['menunggu', 'berita', 'ketegasan', 'dari', 'pihak', 'sekolah']","['menunggu', 'berita', 'ketegasan', 'sekolah']","['tunggu', 'berita', 'tegas', 'sekolah']",tunggu berita tegas sekolah
"Apa pun alasan nya, prokses hukum hrs ttp berjalan. Kalau di diami, bisa jd Bajingan ini anak. Mau dia berprestasi di sekolahan kek, mau bolak balik dpt penghargaan kek, nyata nya dia melakukan penganiayaan dan kekerasan.",Apa pun alasan nya prokses hukum hrs ttp berjalan Kalau di diami bisa jd Bajingan ini anak Mau dia berprestasi di sekolahan kek mau bolak balik dpt penghargaan kek nyata nya dia melakukan penganiayaan dan kekerasan,apa pun alasan nya prokses hukum hrs ttp berjalan kalau di diami bisa jd bajingan ini anak mau dia berprestasi di sekolahan kek mau bolak balik dpt penghargaan kek nyata nya dia melakukan penganiayaan dan kekerasan,"['apa', 'pun', 'alasan', 'nya', 'prokses', 'hukum', 'hrs', 'ttp', 'berjalan', 'kalau', 'di', 'diami', 'bisa', 'jd', 'bajingan', 'ini', 'anak', 'mau', 'dia', 'berprestasi', 'di', 'sekolahan', 'kek', 'mau', 'bolak', 'balik', 'dpt', 'penghargaan', 'kek', 'nyata', 'nya', 'dia', 'melakukan', 'penganiayaan', 'dan', 'kekerasan']",75bed495780eeca72cb46919cfe38080,"['apa', 'pun', 'alasan', 'nya', 'prokses', 'hukum', 'harus', 'tetap', 'berjalan', 'kalo', 'di', 'diami', 'bisa', 'jadi', 'bajingan', 'ini', 'anak', 'mau', 'dia', 'berprestasi', 'di', 'sekolahan', 'kayak', 'mau', 'bolak', 'balik', 'dapat', 'penghargaan', 'kayak', 'nyata', 'nya', 'dia', 'melakukan', 'penganiayaan', 'dan', 'kekerasan']","['alasan', 'prokses', 'hukum', 'tetap', 'berjalan', 'kalo', 'diami', 'bajingan', 'anak', 'berprestasi', 'sekolahan', 'kayak', 'bolak', 'penghargaan', 'kayak', 'nyata', 'penganiayaan', 'kekerasan']","['alas', 'prokses', 'hukum', 'tetap', 'jalan', 'kalo', 'ami', 'bajing', 'anak', 'prestasi', 'sekolah', 'kayak', 'bolak', 'harga', 'kayak', 'nyata', 'aniaya', 'keras']",alas prokses hukum tetap jalan kalo ami bajing anak prestasi sekolah kayak bolak harga kayak nyata aniaya keras
12tahun penjara,tahun penjara,tahun penjara,"['tahun', 'penjara']",22776a82376d735d6a50379549234704,"['tahun', 'penjara']",['penjara'],['penjara'],penjara
apa sih definisi perundungan itu??? TRS definisi PENGANIAYAAN itu juga apa??,apa sih definisi perundungan itu TRS definisi PENGANIAYAAN itu juga apa,apa sih definisi perundungan itu trs definisi penganiayaan itu juga apa,"['apa', 'sih', 'definisi', 'perundungan', 'itu', 'trs', 'definisi', 'penganiayaan', 'itu', 'juga', 'apa']",dcdd17f03e26dd1b311aedf648f48bad,"['apa', 'sih', 'definisi', 'perundungan', 'itu', 'terus', 'definisi', 'penganiayaan', 'itu', 'juga', 'apa']","['sih', 'definisi', 'perundungan', 'definisi', 'penganiayaan']","['sih', 'definisi', 'rundung', 'definisi', 'aniaya']",sih definisi rundung definisi aniaya
Anak siapa ini,Anak siapa ini,anak siapa ini,"['anak', 'siapa', 'ini']",013b3d101d53a959fe2e73b746d51753,"['anak', 'siapa', 'ini']",['anak'],['anak'],anak
Sanksi sekolah nya : cabut dana BOS nya 💸 spy ada efek jera,Sanksi sekolah nya cabut dana BOS nya spy ada efek jera,sanksi sekolah nya cabut dana bos nya spy ada efek jera,"['sanksi', 'sekolah', 'nya', 'cabut', 'dana', 'bos', 'nya', 'spy', 'ada', 'efek', 'jera']",b824bfe60e6aa38954925c9b90b26f0b,"['sanksi', 'sekolah', 'nya', 'cabut', 'dana', 'bos', 'nya', 'supaya', 'ada', 'efek', 'jera']","['sanksi', 'sekolah', 'cabut', 'dana', 'bos', 'ada', 'efek', 'jera']","['sanksi', 'sekolah', 'cabut', 'dana', 'bos', 'ada', 'efek', 'jera']",sanksi sekolah cabut dana bos ada efek jera
Anu misahkeun aing... Gelut jeng aing kabeh,Anu misahkeun aing Gelut jeng aing kabeh,anu misahkeun aing gelut jeng aing kabeh,"['anu', 'misahkeun', 'aing', 'gelut', 'jeng', 'aing', 'kabeh']",dad046e8fb59cd37e6c2bf0ecf104dfb,"['anu', 'misahkeun', 'aing', 'gelut', 'jeng', 'aing', 'semua']","['anu', 'misahkeun', 'aing', 'gelut', 'jeng', 'aing']","['anu', 'misahkeun', 'aing', 'gelut', 'jeng', 'aing']",anu misahkeun aing gelut jeng aing
"Bibit"" preman ini salah siapa ya ,pendidik,sekolahan atau orang tua pusing aku ni bro.wassalam",Bibit preman ini salah siapa ya pendidik sekolahan atau orang tua pusing aku ni bro wassalam,bibit preman ini salah siapa ya pendidik sekolahan atau orang tua pusing aku ni bro wassalam,"['bibit', 'preman', 'ini', 'salah', 'siapa', 'ya', 'pendidik', 'sekolahan', 'atau', 'orang', 'tua', 'pusing', 'aku', 'ni', 'bro', 'wassalam']",d5720a2550b6d0141c1dcb1460a7d22e,"['bibit', 'preman', 'ini', 'salah', 'siapa', 'ya', 'pendidik', 'sekolahan', 'atau', 'orang', 'tua', 'pusing', 'aku', 'ni', 'bro', 'wassalam']","['bibit', 'preman', 'salah', 'pendidik', 'sekolahan', 'orang', 'tua', 'pusing', 'ni', 'bro', 'wassalam']","['bibit', 'preman', 'salah', 'didik', 'sekolah', 'orang', 'tua', 'pusing', 'ni', 'bro', 'wassalam']",bibit preman salah didik sekolah orang tua pusing ni bro wassalam
Berprestasi? Gk salah tu Bu guru kepsek. Mungkin berprestasi dlm bidang bully dan nindas orang yg lemah,Berprestasi Gk salah tu Bu guru kepsek Mungkin berprestasi dlm bidang bully dan nindas orang yg lemah,berprestasi gk salah tu bu guru kepsek mungkin berprestasi dlm bidang bully dan nindas orang yg lemah,"['berprestasi', 'gk', 'salah', 'tu', 'bu', 'guru', 'kepsek', 'mungkin', 'berprestasi', 'dlm', 'bidang', 'bully', 'dan', 'nindas', 'orang', 'yg', 'lemah']",70247593f59779b4f8158a406dd3214d,"['berprestasi', 'enggak', 'salah', 'tu', 'bu', 'guru', 'kepsek', 'mungkin', 'berprestasi', 'dalam', 'bidang', 'bully', 'dan', 'nindas', 'orang', 'yang', 'lemah']","['berprestasi', 'salah', 'tu', 'bu', 'guru', 'kepsek', 'berprestasi', 'bidang', 'bully', 'nindas', 'orang', 'lemah']","['prestasi', 'salah', 'tu', 'bu', 'guru', 'kepsek', 'prestasi', 'bidang', 'bully', 'nindas', 'orang', 'lemah']",prestasi salah tu bu guru kepsek prestasi bidang bully nindas orang lemah
kecil² da jd ketua geng,kecil da jd ketua geng,kecil da jd ketua geng,"['kecil', 'da', 'jd', 'ketua', 'geng']",ec25ae08123ae0c2abffeb8f72f55a85,"['kecil', 'da', 'jadi', 'ketua', 'geng']","['da', 'ketua', 'geng']","['da', 'ketua', 'geng']",da ketua geng
"Bukannya gara"" cw?",Bukannya gara cw,bukannya gara cw,"['bukannya', 'gara', 'cw']",b4bf5bd3a97b6a139959b7243c07d026,"['bukannya', 'gara', 'cw']","['gara', 'cw']","['gara', 'cw']",gara cw
"W nih yg mana? Yg pake tas selempang, yg bawa bambu, yg ngrekam, yg mainin nomer2 sambil duduk? Siapapun yg terlibat tolong dikasih hukuman juga dong. Jgn pake alesan masih anak2",nih yg mana Yg pake tas selempang yg bawa bambu yg ngrekam yg mainin nomer sambil duduk Siapapun yg terlibat tolong dikasih hukuman juga dong Jgn pake alesan masih anak,nih yg mana yg pake tas selempang yg bawa bambu yg ngrekam yg mainin nomer sambil duduk siapapun yg terlibat tolong dikasih hukuman juga dong jgn pake alesan masih anak,"['nih', 'yg', 'mana', 'yg', 'pake', 'tas', 'selempang', 'yg', 'bawa', 'bambu', 'yg', 'ngrekam', 'yg', 'mainin', 'nomer', 'sambil', 'duduk', 'siapapun', 'yg', 'terlibat', 'tolong', 'dikasih', 'hukuman', 'juga', 'dong', 'jgn', 'pake', 'alesan', 'masih', 'anak']",80bbb906d714c3a46012f52f36050843,"['ini', 'yang', 'mana', 'yang', 'pake', 'tas', 'selempang', 'yang', 'bawah', 'bambu', 'yang', 'ngrekam', 'yang', 'mainin', 'nomer', 'sambil', 'duduk', 'siapapun', 'yang', 'terlibat', 'tolong', 'dikasih', 'hukuman', 'juga', 'dong', 'jangan', 'pake', 'alesan', 'masih', 'anak']","['pake', 'tas', 'selempang', 'bambu', 'ngrekam', 'mainin', 'nomer', 'duduk', 'terlibat', 'tolong', 'dikasih', 'hukuman', 'pake', 'alesan', 'anak']","['pake', 'tas', 'selempang', 'bambu', 'ngrekam', 'mainin', 'nomer', 'duduk', 'libat', 'tolong', 'kasih', 'hukum', 'pake', 'alesan', 'anak']",pake tas selempang bambu ngrekam mainin nomer duduk libat tolong kasih hukum pake alesan anak
Ketika ilmu lebih tinggi daripada adab ya begini lah jadinya....,Ketika ilmu lebih tinggi daripada adab ya begini lah jadinya,ketika ilmu lebih tinggi daripada adab ya begini lah jadinya,"['ketika', 'ilmu', 'lebih', 'tinggi', 'daripada', 'adab', 'ya', 'begini', 'lah', 'jadinya']",e083e5d7387c479db28ef574ef9cbdc1,"['ketika', 'ilmu', 'lebih', 'tinggi', 'daripada', 'kesopanan', 'ya', 'begini', 'lah', 'jadinya']","['ilmu', 'kesopanan']","['ilmu', 'sopan']",ilmu sopan
Nih Pelaku siswa Berprestasi???????? Berprestasi bantai orang 😠,Nih Pelaku siswa Berprestasi Berprestasi bantai orang,nih pelaku siswa berprestasi berprestasi bantai orang,"['nih', 'pelaku', 'siswa', 'berprestasi', 'berprestasi', 'bantai', 'orang']",8c274803dfbc93394677aa8ec2aac2cc,"['ini', 'pelaku', 'siswa', 'berprestasi', 'berprestasi', 'bantai', 'orang']","['pelaku', 'siswa', 'berprestasi', 'berprestasi', 'bantai', 'orang']","['laku', 'siswa', 'prestasi', 'prestasi', 'bantai', 'orang']",laku siswa prestasi prestasi bantai orang
Halah anak kurang ajar itu banyak alasanya,Halah anak kurang ajar itu banyak alasanya,halah anak kurang ajar itu banyak alasanya,"['halah', 'anak', 'kurang', 'ajar', 'itu', 'banyak', 'alasanya']",32867caa68196c33dd441199384725b8,"['halah', 'anak', 'kurang', 'ajar', 'itu', 'banyak', 'alasanya']","['halah', 'anak', 'ajar', 'alasanya']","['halah', 'anak', 'ajar', 'alasanya']",halah anak ajar alasanya
Yg bener katanya masalah cewe sekarang beda lagi,Yg bener katanya masalah cewe sekarang beda lagi,yg bener katanya masalah cewe sekarang beda lagi,"['yg', 'bener', 'katanya', 'masalah', 'cewe', 'sekarang', 'beda', 'lagi']",7cf3a24a9cb1031b25f6ddb66f8b1820,"['yang', 'benar', 'katanya', 'masalah', 'cewe', 'sekarang', 'beda', 'lagi']","['cewe', 'beda']","['cewe', 'beda']",cewe beda
Setuju hukum saja,Setuju hukum saja,setuju hukum saja,"['setuju', 'hukum', 'saja']",ddc10eb1517316e7b501416b5ad1a854,"['setuju', 'hukum', 'saja']","['setuju', 'hukum']","['tuju', 'hukum']",tuju hukum
"Bagus, proses hukum tetap berjalan..",Bagus proses hukum tetap berjalan,bagus proses hukum tetap berjalan,"['bagus', 'proses', 'hukum', 'tetap', 'berjalan']",b8ba799a5b836fbd88883515ac721ea2,"['bagus', 'proses', 'hukum', 'tetap', 'berjalan']","['bagus', 'proses', 'hukum', 'tetap', 'berjalan']","['bagus', 'proses', 'hukum', 'tetap', 'jalan']",bagus proses hukum tetap jalan
"Revolusi Mental GAGAL, Lahirlah Premisme dan Brutalisme. Saat Revolusi Akhlak",Revolusi Mental GAGAL Lahirlah Premisme dan Brutalisme Saat Revolusi Akhlak,revolusi mental gagal lahirlah premisme dan brutalisme saat revolusi akhlak,"['revolusi', 'mental', 'gagal', 'lahirlah', 'premisme', 'dan', 'brutalisme', 'saat', 'revolusi', 'akhlak']",d7dfcc8c1600252a7301c1b82475a925,"['revolusi', 'mental', 'gagal', 'lahirlah', 'premisme', 'dan', 'brutalisme', 'saat', 'revolusi', 'budi pekerti']","['revolusi', 'mental', 'gagal', 'lahirlah', 'premisme', 'brutalisme', 'revolusi', 'budi pekerti']","['revolusi', 'mental', 'gagal', 'lahir', 'premisme', 'brutalisme', 'revolusi', 'budi pekerti']",revolusi mental gagal lahir premisme brutalisme revolusi budi pekerti
"Kejadian di pandegalang banten, bukan di cilacap",Kejadian di pandegalang banten bukan di cilacap,kejadian di pandegalang banten bukan di cilacap,"['kejadian', 'di', 'pandegalang', 'banten', 'bukan', 'di', 'cilacap']",f6d6e4d90f754ea5478ff66afb0a875c,"['kejadian', 'di', 'pandegalang', 'banten', 'bukan', 'di', 'cilacap']","['kejadian', 'pandegalang', 'banten', 'cilacap']","['jadi', 'pandegalang', 'banten', 'cilacap']",jadi pandegalang banten cilacap
Geng oopo....,Geng oopo,geng oopo,"['geng', 'oopo']",9592a2d7b5f57d87bc56016178c2b022,"['geng', 'oopo']","['geng', 'oopo']","['geng', 'oopo']",geng oopo
Prestasi geng sekolah po bu,Prestasi geng sekolah po bu,prestasi geng sekolah po bu,"['prestasi', 'geng', 'sekolah', 'po', 'bu']",f4834068cd0614c17996f6cf0d47e3ca,"['prestasi', 'geng', 'sekolah', 'po', 'bu']","['prestasi', 'geng', 'sekolah', 'po', 'bu']","['prestasi', 'geng', 'sekolah', 'po', 'bu']",prestasi geng sekolah po bu
Halah...,Halah,halah,['halah'],8ea174aa89d08a2181d0e57caa7d4f13,['halah'],['halah'],['halah'],halah
ko dia bisa bahasa sunda,ko dia bisa bahasa sunda,ko dia bisa bahasa sunda,"['ko', 'dia', 'bisa', 'bahasa', 'sunda']",1bc9e87e8c5af72676028e2604dc4fbe,"['ko', 'dia', 'bisa', 'bahasa', 'sunda']","['ko', 'bahasa', 'sunda']","['ko', 'bahasa', 'sunda']",ko bahasa sunda
Modarooo,Modaroo,modaroo,['modaroo'],04e8db4f317d0ddd56964209b30e75a8,['modaroo'],['modaroo'],['modaroo'],modaroo
Gak masuk akal pinter pinter ngeless,Gak masuk akal pinter pinter ngeless,gak masuk akal pinter pinter ngeless,"['gak', 'masuk', 'akal', 'pinter', 'pinter', 'ngeless']",21784a10a878010733ac7895b4ded9f0,"['enggak', 'masuk', 'akal', 'pinter', 'pinter', 'ngeless']","['masuk', 'akal', 'pinter', 'pinter', 'ngeless']","['masuk', 'akal', 'pinter', 'pinter', 'ngeless']",masuk akal pinter pinter ngeless
harus d kasi sanksiberat ni klau nga dia blagu amat,harus kasi sanksiberat ni klau nga dia blagu amat,harus kasi sanksiberat ni klau nga dia blagu amat,"['harus', 'kasi', 'sanksiberat', 'ni', 'klau', 'nga', 'dia', 'blagu', 'amat']",009e86646cb7c4d32a8797a48c458d86,"['harus', 'kasih', 'sanksiberat', 'ni', 'klau', 'nga', 'dia', 'blagu', 'amat']","['kasih', 'sanksiberat', 'ni', 'klau', 'nga', 'blagu']","['kasih', 'sanksiberat', 'ni', 'klau', 'nga', 'blagu']",kasih sanksiberat ni klau nga blagu
"Bully sampe depresi,,",Bully sampe depresi,bully sampe depresi,"['bully', 'sampe', 'depresi']",f9ab1a86b02dbbf105b7867d1617c870,"['bully', 'sampai', 'depresi']","['bully', 'depresi']","['bully', 'depresi']",bully depresi
Jamet2 😂,Jamet,jamet,['jamet'],d52f56c539a90f99f5b8d73463d18b28,['jamet'],['jamet'],['jamet'],jamet
Kon sekolah malah geng2an...cilik2 kelakuane wis kaya penjahat,Kon sekolah malah gengan cilik kelakuane wis kaya penjahat,kon sekolah malah gengan cilik kelakuane wis kaya penjahat,"['kon', 'sekolah', 'malah', 'gengan', 'cilik', 'kelakuane', 'wis', 'kaya', 'penjahat']",4b0921386af56b5e503b6ace6872f70f,"['kon', 'sekolah', 'malah', 'gengan', 'cilik', 'kelakuane', 'wis', 'kaya', 'penjahat']","['kon', 'sekolah', 'gengan', 'cilik', 'kelakuane', 'wis', 'kaya', 'penjahat']","['kon', 'sekolah', 'geng', 'cilik', 'kelakuane', 'wis', 'kaya', 'jahat']",kon sekolah geng cilik kelakuane wis kaya jahat
"Hoi Kepsek Wuri, pelajar berprestasi apa ?segala penghargaan, cb sebutkan penghargaan apa?, prestasi sok jagoan ya,  masa kelakuan anak didik sprti itu selama ini gk tau, pastinya disekolah gaya petentang petenteng dan mungkin pernah berantem dgn yg lain jg, kurang jeli aja sekolahnya.",Hoi Kepsek Wuri pelajar berprestasi apa segala penghargaan cb sebutkan penghargaan apa prestasi sok jagoan ya masa kelakuan anak didik sprti itu selama ini gk tau pastinya disekolah gaya petentang petenteng dan mungkin pernah berantem dgn yg lain jg kurang jeli aja sekolahnya,hoi kepsek wuri pelajar berprestasi apa segala penghargaan cb sebutkan penghargaan apa prestasi sok jagoan ya masa kelakuan anak didik sprti itu selama ini gk tau pastinya disekolah gaya petentang petenteng dan mungkin pernah berantem dgn yg lain jg kurang jeli aja sekolahnya,"['hoi', 'kepsek', 'wuri', 'pelajar', 'berprestasi', 'apa', 'segala', 'penghargaan', 'cb', 'sebutkan', 'penghargaan', 'apa', 'prestasi', 'sok', 'jagoan', 'ya', 'masa', 'kelakuan', 'anak', 'didik', 'sprti', 'itu', 'selama', 'ini', 'gk', 'tau', 'pastinya', 'disekolah', 'gaya', 'petentang', 'petenteng', 'dan', 'mungkin', 'pernah', 'berantem', 'dgn', 'yg', 'lain', 'jg', 'kurang', 'jeli', 'aja', 'sekolahnya']",fad5ead696ff74c22b1dd45967932efb,"['hoi', 'kepsek', 'wuri', 'pelajar', 'berprestasi', 'apa', 'segala', 'penghargaan', 'cb', 'sebutkan', 'penghargaan', 'apa', 'prestasi', 'sok', 'jagoan', 'ya', 'masa', 'kelakuan', 'anak', 'didik', 'sprti', 'itu', 'selama', 'ini', 'enggak', 'tau', 'pastinya', 'disekolah', 'gaya', 'petentang', 'petenteng', 'dan', 'mungkin', 'pernah', 'berantem', 'dengan', 'yang', 'lain', 'juga', 'kurang', 'jeli', 'saja', 'sekolahnya']","['hoi', 'kepsek', 'wuri', 'pelajar', 'berprestasi', 'penghargaan', 'cb', 'sebutkan', 'penghargaan', 'prestasi', 'sok', 'jagoan', 'kelakuan', 'anak', 'didik', 'sprti', 'tau', 'pastinya', 'disekolah', 'gaya', 'petentang', 'petenteng', 'berantem', 'jeli', 'sekolahnya']","['hoi', 'kepsek', 'wuri', 'ajar', 'prestasi', 'harga', 'cb', 'sebut', 'harga', 'prestasi', 'sok', 'jago', 'laku', 'anak', 'didik', 'sprti', 'tau', 'pasti', 'seko', 'gaya', 'tentang', 'petenteng', 'antem', 'jeli', 'sekolah']",hoi kepsek wuri ajar prestasi harga cb sebut harga prestasi sok jago laku anak didik sprti tau pasti seko gaya tentang petenteng antem jeli sekolah
preman cilik,preman cilik,preman cilik,"['preman', 'cilik']",806b6e9cdaa58636d0e38f67ba577022,"['preman', 'cilik']","['preman', 'cilik']","['preman', 'cilik']",preman cilik
"Masih SMP sdh geng2an, kalo sdh remaja mau jadi apa,  preman kelas teri yaa",Masih SMP sdh gengan kalo sdh remaja mau jadi apa preman kelas teri yaa,masih smp sdh gengan kalo sdh remaja mau jadi apa preman kelas teri yaa,"['masih', 'smp', 'sdh', 'gengan', 'kalo', 'sdh', 'remaja', 'mau', 'jadi', 'apa', 'preman', 'kelas', 'teri', 'yaa']",e5643d51c063303d16d0c96080263d01,"['masih', 'sekolah menengah pertama', 'sudah', 'gengan', 'kalau', 'sudah', 'remaja', 'mau', 'jadi', 'apa', 'preman', 'kelas', 'teri', 'ya']","['sekolah menengah pertama', 'gengan', 'remaja', 'preman', 'kelas', 'teri']","['sekolah tengah pertama', 'geng', 'remaja', 'preman', 'kelas', 'teri']",sekolah tengah pertama geng remaja preman kelas teri
Geng”an segala orang sekolah biasa sj belagu bukan sekolah Yg gimana…. Lagian Mental Preman gak pantas buat dijadikan contoh buat adik kelas,Geng an segala orang sekolah biasa sj belagu bukan sekolah Yg gimana Lagian Mental Preman gak pantas buat dijadikan contoh buat adik kelas,geng an segala orang sekolah biasa sj belagu bukan sekolah yg gimana lagian mental preman gak pantas buat dijadikan contoh buat adik kelas,"['geng', 'an', 'segala', 'orang', 'sekolah', 'biasa', 'sj', 'belagu', 'bukan', 'sekolah', 'yg', 'gimana', 'lagian', 'mental', 'preman', 'gak', 'pantas', 'buat', 'dijadikan', 'contoh', 'buat', 'adik', 'kelas']",e00e3eb7c36e403397b7bb58390e8be5,"['geng', '.', 'segala', 'orang', 'sekolah', 'biasa', 'saja', 'sombong', 'bukan', 'sekolah', 'yang', 'gimana', 'lagian', 'mental', 'preman', 'enggak', 'pantas', 'buat', 'dijadikan', 'contoh', 'buat', 'adik', 'kelas']","['geng', '.', 'orang', 'sekolah', 'sombong', 'sekolah', 'gimana', 'mental', 'preman', 'dijadikan', 'contoh', 'adik', 'kelas']","['geng', '', 'orang', 'sekolah', 'sombong', 'sekolah', 'gimana', 'mental', 'preman', 'jadi', 'contoh', 'adik', 'kelas']",geng orang sekolah sombong sekolah gimana mental preman jadi contoh adik kelas
Kirim aja gengnya suruh lawan KKB 😈,Kirim aja gengnya suruh lawan KKB,kirim aja gengnya suruh lawan kkb,"['kirim', 'aja', 'gengnya', 'suruh', 'lawan', 'kkb']",df65eff8137bdfdc192095dc6824d8e8,"['kirim', 'saja', 'gengnya', 'suruh', 'lawan', 'kkb']","['kirim', 'gengnya', 'suruh', 'lawan', 'kkb']","['kirim', 'geng', 'suruh', 'lawan', 'kkb']",kirim geng suruh lawan kkb
"Hah, g yakin gwe ama pernyataan kepsek nya, ""pelaku dikenal sebagai pelajar yg berprestasi dgn segala penghargaan yg d raihnya"". Opo iyo",Hah yakin gwe ama pernyataan kepsek nya pelaku dikenal sebagai pelajar yg berprestasi dgn segala penghargaan yg raihnya Opo iyo,hah yakin gwe ama pernyataan kepsek nya pelaku dikenal sebagai pelajar yg berprestasi dgn segala penghargaan yg raihnya opo iyo,"['hah', 'yakin', 'gwe', 'ama', 'pernyataan', 'kepsek', 'nya', 'pelaku', 'dikenal', 'sebagai', 'pelajar', 'yg', 'berprestasi', 'dgn', 'segala', 'penghargaan', 'yg', 'raihnya', 'opo', 'iyo']",6156bb193e9c53e312048f0165307d4d,"['hah', 'yakin', 'aku', 'ama', 'pernyataan', 'kepsek', 'nya', 'pelaku', 'dikenal', 'sebagai', 'pelajar', 'yang', 'berprestasi', 'dengan', 'segala', 'penghargaan', 'yang', 'raihnya', 'opo', 'iyo']","['hah', 'pernyataan', 'kepsek', 'pelaku', 'dikenal', 'pelajar', 'berprestasi', 'penghargaan', 'raihnya', 'opo', 'iyo']","['hah', 'nyata', 'kepsek', 'laku', 'kenal', 'ajar', 'prestasi', 'harga', 'raih', 'opo', 'iyo']",hah nyata kepsek laku kenal ajar prestasi harga raih opo iyo
Apapun alasannya anak bang sad itu harus dihukum,Apapun alasannya anak bang sad itu harus dihukum,apapun alasannya anak bang sad itu harus dihukum,"['apapun', 'alasannya', 'anak', 'bang', 'sad', 'itu', 'harus', 'dihukum']",b5fc5fd1a270b16f9267081875f5b3da,"['apapun', 'alasannya', 'anak', 'bang', 'sad', 'itu', 'harus', 'dihukum']","['apapun', 'alasannya', 'anak', 'sad', 'dihukum']","['apa', 'alas', 'anak', 'sad', 'hukum']",apa alas anak sad hukum
Siunyil tahun 2023,Siunyil tahun,siunyil tahun,"['siunyil', 'tahun']",191b3a93b8372a8817922c5daaf1d61a,"['siunyil', 'tahun']",['siunyil'],['siunyil'],siunyil
Minimal kelakuannya ngenakin kalo muka gak ganteng 🤣,Minimal kelakuannya ngenakin kalo muka gak ganteng,minimal kelakuannya ngenakin kalo muka gak ganteng,"['minimal', 'kelakuannya', 'ngenakin', 'kalo', 'muka', 'gak', 'ganteng']",3ed9ff7c83753ff5f44e37f88e4b0702,"['minimal', 'kelakuannya', 'ngenakin', 'kalau', 'muka', 'enggak', 'ganteng']","['minimal', 'kelakuannya', 'ngenakin', 'muka', 'ganteng']","['minimal', 'laku', 'ngenakin', 'muka', 'ganteng']",minimal laku ngenakin muka ganteng
